0.525746 0.533675 0.531166 0.532398 0.531154 0.531701 0.530564 0.532297 0.527557 0.530794 40373128;;;;5.30705;;;0.530705;;;0.530705 microsec
0.524662 0.526382 0.529586 0.531346 0.531677 0.5317 0.532348 0.525564 0.521566 0.52056 40480790;;;;5.27539;;;0.527539;;;0.527539 microsec
0.528948 0.53417 0.532214 0.531523 0.531595 0.530626 0.525497 0.52203 0.52782 0.522729 40659599;;;;5.28715;;;0.528715;;;0.528715 microsec
0.525246 0.553045 0.530626 0.530889 0.529524 0.524642 0.522111 0.521955 0.527211 0.522162 40838918;;;;5.28741;;;0.528741;;;0.528741 microsec
0.533698 0.535559 0.542068 0.536878 0.537284 0.532928 0.538141 0.535725 0.533244 0.54014 41017523;;;;5.36566;;;0.536566;;;0.536566 microsec
0.389907 0.39273 0.394644 0.392543 0.39676 0.398985 0.399584 0.399944 0.399465 0.398389 169839247;;;;3.96295;;;0.396295;;;0.396295 microsec
0.393294 0.399196 0.399266 0.399345 0.399596 0.399798 0.399644 0.399934 0.399848 0.399761 170344913;;;;3.98968;;;0.398968;;;0.398968 microsec
0.397582 0.396932 0.398755 0.399516 0.399661 0.39976 0.399777 0.400222 0.400127 0.399793 171186864;;;;3.99212;;;0.399212;;;0.399212 microsec
0.393754 0.39614 0.396418 0.398614 0.399326 0.399577 0.3998 0.399929 0.399897 0.399904 172029464;;;;3.98336;;;0.398336;;;0.398336 microsec
0.405842 0.406746 0.410262 0.411446 0.411852 0.411636 0.411993 0.411892 0.412055 0.411876 172871573;;;;4.1056;;;0.41056;;;0.41056 microsec
0.723361 0.732335 0.734982 0.730772 0.721558 0.723514 0.723757 0.723715 0.724965 0.723958 274380516;;;;7.26292;;;0.726292;;;0.726292 microsec
0.719706 0.717521 0.714025 0.713005 0.712306 0.71201 0.711858 0.711776 0.712134 0.712015 275104442;;;;7.13636;;;0.713636;;;0.713636 microsec
0.720813 0.708395 0.711815 0.711765 0.712 0.712253 0.711774 0.711723 0.711721 0.711849 276307730;;;;7.12411;;;0.712411;;;0.712411 microsec
0.710191 0.713579 0.713158 0.710123 0.713606 0.710245 0.713335 0.712524 0.711804 0.711999 277509664;;;;7.12056;;;0.712056;;;0.712056 microsec
0.720287 0.732013 0.726538 0.734337 0.733767 0.728 0.740906 0.729337 0.7338 0.730034 278713338;;;;7.30902;;;0.730902;;;0.730902 microsec
0.817694 0.823215 0.821013 0.827722 0.820878 0.82075 0.821705 0.827675 0.822754 0.828551 296978930;;;;8.23196;;;0.823196;;;0.823196 microsec
0.846422 0.845153 0.845754 0.844839 0.84225 0.844694 0.844606 0.843846 0.843797 0.843962 297749150;;;;8.44532;;;0.844532;;;0.844532 microsec
0.806437 0.828748 0.830399 0.831146 0.831729 0.831239 0.831591 0.831313 0.831908 0.831399 299034222;;;;8.28591;;;0.828591;;;0.828591 microsec
0.826476 0.84188 0.842611 0.843613 0.843644 0.843594 0.843651 0.843705 0.843526 0.84333 300319220;;;;8.41603;;;0.841603;;;0.841603 microsec
0.852681 0.832924 0.832638 0.832521 0.832301 0.83211 0.831981 0.831922 0.831618 0.831815 301606268;;;;8.34251;;;0.834251;;;0.834251 microsec
0.732998 0.761379 0.743925 0.738693 0.744918 0.737139 0.737743 0.743598 0.736284 0.734307 158308666;;;;7.41098;;;0.741098;;;0.741098 microsec
0.740223 0.74351 0.751121 0.733395 0.745525 0.736293 0.73545 0.736143 0.735594 0.730785 158838808;;;;7.38804;;;0.738804;;;0.738804 microsec
0.747437 0.752528 0.750382 0.7565 0.75018 0.756446 0.750843 0.756529 0.750865 0.75655 159723286;;;;7.52826;;;0.752826;;;0.752826 microsec
0.76519 0.754444 0.75905 0.75886 0.759599 0.760463 0.76011 0.75908 0.760691 0.759937 160607789;;;;7.59742;;;0.759742;;;0.759742 microsec
0.73734 0.745245 0.74715 0.747335 0.74678 0.745799 0.738428 0.744007 0.739506 0.743805 161491751;;;;7.4354;;;0.74354;;;0.74354 microsec
1.68675 1.69603 1.69548 1.69582 1.6958 1.6945 1.69571 1.694 1.69149 1.69454 179330531;;;;16.9401;;;1.69401;;;1.69401 microsec
1.69828 1.68966 1.68285 1.68365 1.68422 1.68222 1.68301 1.68303 1.68201 1.67897 179698434;;;;16.8479;;;1.68479;;;1.68479 microsec
1.7105 1.71026 1.70889 1.70859 1.70782 1.70749 1.70691 1.7069 1.70703 1.70744 180305474;;;;17.0818;;;1.70818;;;1.70818 microsec
1.70715 1.69878 1.70589 1.69992 1.70261 1.7002 1.70502 1.70637 1.70726 1.70713 180912077;;;;17.0403;;;1.70403;;;1.70403 microsec
1.70591 1.71783 1.71161 1.71628 1.71304 1.71308 1.71685 1.7166 1.71245 1.71466 181519977;;;;17.1383;;;1.71383;;;1.71383 microsec
0.982623 0.991529 0.989031 0.988437 0.987634 0.985822 0.988991 0.985745 0.988983 0.985662 259520768;;;;9.87446;;;0.987446;;;0.987446 microsec
1.00811 1.00321 1.00119 1.0079 1.0026 1.00075 1.00769 1.00258 1.008 1.00273 260061724;;;;10.0447;;;1.00447;;;1.00447 microsec
1.01686 1.02166 1.02311 1.02317 1.02331 1.02387 1.02364 1.02364 1.023 1.024 260969657;;;;10.2263;;;1.02263;;;1.02263 microsec
1.01484 0.999832 0.992482 0.996779 0.985058 0.987163 0.984522 0.986543 0.987587 0.987172 261873499;;;;9.92197;;;0.992197;;;0.992197 microsec
0.994086 1.00578 1.00196 1.00026 0.999684 0.99972 0.999578 0.999522 1.00725 1.00197 262778270;;;;10.0098;;;1.00098;;;1.00098 microsec
0.337358 0.339899 0.34568 0.341352 0.340585 0.340356 0.33987 0.339719 0.340126 0.339878 43838900;;;;3.40482;;;0.340482;;;0.340482 microsec
0.334218 0.337878 0.338097 0.339237 0.339617 0.339811 0.339688 0.340238 0.339531 0.340029 44019983;;;;3.38834;;;0.338834;;;0.338834 microsec
0.336361 0.342396 0.337063 0.339917 0.339273 0.339337 0.339708 0.339751 0.339628 0.339705 44321945;;;;3.39314;;;0.339314;;;0.339314 microsec
0.335132 0.336478 0.345771 0.341396 0.340719 0.339835 0.338804 0.34065 0.340082 0.345122 44623974;;;;3.40399;;;0.340399;;;0.340399 microsec
